user,pass,usertype,zipcode,email
q,q,Customer,60616,q
p,p,StoreManager,60616,p
a,a,Customer,25478,a
"Sainath Macharla",s,Customer,60616,fjeoe@lfojls.com
"Usain Bolt",u,Customer,78702,wsdth@fewaq.com
"Colby White",c,Customer,02115,xsert@mkiut.com
"Sharon Pinty",s,Customer,95101,mkiue@freyt.com
"Olivia Virginia",o,Customer,23231,asloe@grewq.com
"Patrick Llyod",p,Customer,19105,mherl@frmlp.com
"Amanda Suly",a,Customer,62544,mufgr@podmc.com
"George Washington",g,Customer,98274,mjuwq@nbfgr.com
"Walter White",w,Customer,87104,shurt@laor.com
"Gracy Staler",g,Customer,48219,orufnf@jfuek.com
"Samantha Norman",s,Customer,48105,kfhrto@fhreye.com
"Kurt Angle",k,Customer,29206,ugdye@lfdjrt.com
"Jesse Pinkman",j,Customer,87104,jurbx@koenv.com
"Colton Dorn",c,Customer,29606,micry@hfur.com
"Michael Fisher",m,Customer,02122,mufhr@gher.com
"Brandon Mayhew",b,Customer,87119,mcget@kghgl.com
"Pink Rose",p,Customer,98052,jfyr@gkrei.com
"Drape Husler",d,Customer,83735,jfyrg@fjfgif.com
"Bam Vibu",b,Customer,95532,ufhfk@lckfj.com
"Caesar North",c,Customer,60654,mcuiey@hxsga.com
"Giancarlo Esposito",g,Customer,94122,logfhr@tapof.com
"Juan Carlo",j,Customer,36879,akity@hteuw.com
"Don Pablo",d,Customer,83725,hfyurh@lcoerj.com
"John Smith",j,Customer,10471,yroldh@yakfo.com
"Randy Wilson",r,Customer,32211,ufhrh@lkfdifk.com
"Skinny Pette",s,Customer,32391,rwjdif@poadm.com
"Dormig Fred",d,Customer,33629,pocmd@hwye.com
"Lancer Ford",l,Customer,80219,ofhru@gkei.com
"Lance Armstrong",l,Customer,82002,irtyfh@lkshs.com
"Kristen Stewart",k,Customer,58505,igfmgh@hajd.com
"Peter Parker",p,Customer,11375,lhhske@hasgej.com
